0. particle | coordinate X:  0.139994 | velocity_X:   0.999892 | force_X: -0.001439
1. particle | coordinate X: 99.999994 | velocity_X:  -0.000108 | force_X: -0.001442
0. particle | coordinate X:  0.149993 | velocity_X:   0.999877 | force_X: -0.001542
1. particle | coordinate X: 99.999993 | velocity_X:  -0.000124 | force_X: -0.001545
0. particle | coordinate X:  0.159992 | velocity_X:   0.999860 | force_X: -0.001645
1. particle | coordinate X: 99.999992 | velocity_X:  -0.000140 | force_X: -0.001648
0. particle | coordinate X:  0.169990 | velocity_X:   0.999843 | force_X: -0.001748
1. particle | coordinate X: 99.999990 | velocity_X:  -0.000158 | force_X: -0.001750
0. particle | coordinate X:  0.179988 | velocity_X:   0.999824 | force_X: -0.001850
1. particle | coordinate X: 99.999988 | velocity_X:  -0.000176 | force_X: -0.001853
0. particle | coordinate X:  0.189986 | velocity_X:   0.999805 | force_X: -0.001953
1. particle | coordinate X: 99.999986 | velocity_X:  -0.000196 | force_X: -0.001956
0. particle | coordinate X:  0.199984 | velocity_X:   0.999784 | force_X: -0.002056
1. particle | coordinate X: 99.999984 | velocity_X:  -0.000216 | force_X: -0.002059
0. particle | coordinate X:  0.209982 | velocity_X:   0.999763 | force_X: -0.002159
1. particle | coordinate X: 99.999982 | velocity_X:  -0.000238 | force_X: -0.002162
0. particle | coordinate X:  0.219979 | velocity_X:   0.999740 | force_X: -0.002262
1. particle | coordinate X: 99.999979 | velocity_X:  -0.000261 | force_X: -0.002265
0. particle | coordinate X:  0.229976 | velocity_X:   0.999716 | force_X: -0.002365
1. particle | coordinate X: 99.999976 | velocity_X:  -0.000284 | force_X: -0.002368
0. particle | coordinate X:  0.239973 | velocity_X:   0.999692 | force_X: -0.002468
1. particle | coordinate X: 99.999973 | velocity_X:  -0.000309 | force_X: -0.002470
0. particle | coordinate X:  0.249970 | velocity_X:   0.999666 | force_X: -0.002570
1. particle | coordinate X: 99.999970 | velocity_X:  -0.000335 | force_X: -0.002573
0. particle | coordinate X:  0.259966 | velocity_X:   0.999639 | force_X: -0.002673
1. particle | coordinate X: 99.999966 | velocity_X:  -0.000361 | force_X: -0.002676
0. particle | coordinate X:  0.269962 | velocity_X:   0.999612 | force_X: -0.002776
1. particle | coordinate X: 99.999962 | velocity_X:  -0.000389 | force_X: -0.002779
0. particle | coordinate X:  0.279958 | velocity_X:   0.999583 | force_X: -0.002879
1. particle | coordinate X: 99.999958 | velocity_X:  -0.000418 | force_X: -0.002882
0. particle | coordinate X:  0.289954 | velocity_X:   0.999553 | force_X: -0.002982
1. particle | coordinate X: 99.999954 | velocity_X:  -0.000448 | force_X: -0.002984
0. particle | coordinate X:  0.299949 | velocity_X:   0.999522 | force_X: -0.003084
1. particle | coordinate X: 99.999949 | velocity_X:  -0.000479 | force_X: -0.003087
0. particle | coordinate X:  0.309944 | velocity_X:   0.999490 | force_X: -0.003187
1. particle | coordinate X: 99.999944 | velocity_X:  -0.000511 | force_X: -0.003190
0. particle | coordinate X:  0.319939 | velocity_X:   0.999457 | force_X: -0.003290
1. particle | coordinate X: 99.999938 | velocity_X:  -0.000544 | force_X: -0.003293
0. particle | coordinate X:  0.329933 | velocity_X:   0.999423 | force_X: -0.003393
1. particle | coordinate X: 99.999933 | velocity_X:  -0.000577 | force_X: -0.003395
0. particle | coordinate X:  0.339927 | velocity_X:   0.999389 | force_X: -0.003495
